

Sign up
Forgot your password?
Remember me

    About
    Corpus
    Dictionary
    Auxiliaries

Lemma reverse dictionary

ä

by

records

17 093 records were found.
No 	lemma 	part of speech
4011 	budahtoitta 	VERB
4012 	tuhahtoitta 	VERB
4013 	kajahtoitta 	VERB
4014 	likahtoitta 	VERB
4015 	poukahtoitta 	VERB
4016 	elähtoitta 	VERB
4017 	helähtoitta 	VERB
4018 	pilahtoitta 	VERB
4019 	kolahtoitta 	VERB
4020 	turahtoitta 	VERB
4021 	kazvahtoitta 	VERB
4022 	homehtoitta 	VERB
4023 	upehtoitta 	VERB
4024 	tervehtoitta 	VERB
4025 	laditoitta 	VERB
4026 	magitoitta 	VERB
4027 	kingitoitta 	VERB
4028 	kehitoitta 	VERB
4029 	imitoitta 	VERB
4030 	nimitoitta 	VERB
4031 	spravitoitta 	VERB
4032 	levitoitta 	VERB
4033 	pačaktoitta 	VERB
4034 	čudotoitta 	VERB
4035 	tagotoitta 	VERB
4036 	uskotoitta 	VERB
4037 	pal’l’astoitta 	VERB
4038 	lebastoitta 	VERB
4039 	raccastoitta 	VERB
4040 	mudastoitta 	VERB
4041 	pöl’gästoitta 	VERB
4042 	igästoitta 	VERB
4043 	ihastoitta 	VERB
4044 	möhästoitta 	VERB
4045 	hibjastoitta 	VERB
4046 	pit’kästoitta 	VERB
4047 	pakaštoitta 	VERB
4048 	vaikastoitta 	VERB
4049 	alaštoitta 	VERB
4050 	külläštoitta 	VERB
4051 	zapastoitta 	VERB
4052 	heraštoitta 	VERB
4053 	libestoitta 	VERB
4054 	pidestoitta 	VERB
4055 	hergestoitta 	VERB
4056 	kal’hestoitta 	VERB
4057 	lähestoitta 	VERB
4058 	hätkestoitta 	VERB
4059 	letkestoitta 	VERB
4060 	holestoitta 	VERB
4061 	tundištoitta 	VERB
4062 	kurdištoitta 	VERB
4063 	magištoitta 	VERB
4064 	pagištoitta 	VERB
4065 	muigištoitta 	VERB
4066 	hengištoitta 	VERB
4067 	nikištoitta 	VERB
4068 	alištoitta 	VERB
4069 	melištoitta 	VERB
4070 	tüništoitta 	VERB
4071 	kärpištoitta 	VERB
4072 	norištoitta 	VERB
4073 	vahvištoitta 	VERB
4074 	higostoitta 	VERB
4075 	haikostoitta 	VERB
4076 	ilostoitta 	VERB
4077 	redustoitta 	VERB
4078 	hajustoitta 	VERB
4079 	pakuštoitta 	VERB
4080 	amuštoitta 	VERB
4081 	pustoitta 	VERB
4082 	libutoitta 	VERB
4083 	mel’dütoitta 	VERB
4084 	kül’dütoitta 	VERB
4085 	holdutoitta 	VERB
4086 	kahndutoitta 	VERB
4087 	täudutoitta 	VERB
4088 	čudutoitta 	VERB
4089 	magutoitta 	VERB
4090 	kehutoitta 	VERB
4091 	hajutoitta 	VERB
4092 	likutoitta 	VERB
4093 	nukutoitta 	VERB
4094 	pölütoitta 	VERB
4095 	tartutoitta 	VERB
4096 	astutoitta 	VERB
4097 	kävutoitta 	VERB
4098 	gazutoitta 	VERB
4099 	väzutoitta 	VERB
4100 	ahavoitta 	VERB
4101 	imel’zoitta 	VERB
4102 	eläbzoitta 	VERB
4103 	virigzoitta 	VERB
4104 	tervehzoitta 	VERB
4105 	lodeižoitta 	VERB
4106 	krasuizoitta 	VERB
4107 	madalzoitta 	VERB
4108 	humalzoitta 	VERB
4109 	ombelzoitta 	VERB
4110 	nügelzoitta 	VERB
4111 	ajelzoitta 	VERB
4112 	kävelzoitta 	VERB
4113 	novelzoitta 	VERB
4114 	nozolzoitta 	VERB
4115 	maganzoitta 	VERB
4116 	paganzoitta 	VERB
4117 	piganzoitta 	VERB
4118 	märganzoitta 	VERB
4119 	hapanzoitta 	VERB
4120 	götanzoitt 	VERB
4121 	nutanzoitta 	VERB
4122 	kibenzoitta 	VERB
4123 	pidenzoitta 	VERB
4124 	todenzoitta 	VERB
4125 	täudenzoitta 	VERB
4126 	sel’genzoitta 	VERB
4127 	magenzoitta 	VERB
4128 	oigenzoitta 	VERB
4129 	huigenzoitta 	VERB
4130 	muigenzoitta 	VERB
4131 	sogenzoitta 	VERB
4132 	korgenzoitta 	VERB
4133 	jügenzoitta 	VERB
4134 	lähenzoitta 	VERB
4135 	pahenzoitta 	VERB
4136 	vähenzoitta 	VERB
4137 	kohenzoitta 	VERB
4138 	lühenzoitta 	VERB
4139 	puhenzoitta 	VERB
4140 	tobjenzoitta 	VERB
4141 	tühjenzoitta 	VERB
4142 	harjenzoitta 	VERB
4143 	rohkenzoitta 	VERB
4144 	korkenzoitta 	VERB
4145 	notkenzoitta 	VERB
4146 	alenzoitta 	VERB
4147 	palenzoitta 	VERB
4148 	rohlenzoitta 	VERB
4149 	ülenzoitta 	VERB
4150 	kül’menzoitta 	VERB
4151 	pehmenzoitta 	VERB
4152 	pimenzoitta 	VERB
4153 	koumenzoitta 	VERB
4154 	kebnenzoitta 	VERB
4155 	penenzoitta 	VERB
4156 	särenzoitta 	VERB
4157 	värenzoitta 	VERB
4158 	surenzoitta 	VERB
4159 	oksenzoitta 	VERB
4160 	küpsenzoitta 	VERB
4161 	kahtenzoitta 	VERB
4162 	ühtenzoitta 	VERB
4163 	mustenzoitta 	VERB
4164 	levenzoitta 	VERB
4165 	kovenzoitta 	VERB
4166 	kehkerzoitta 	VERB
4167 	koverzoitta 	VERB
4168 	teravzoitta 	VERB
4169 	ustavzoitta 	VERB
4170 	pöugastitta 	VERB
4171 	uitta 	VERB
4172 	puitta 	VERB
4173 	maltta 	VERB
4174 	poltta 	VERB
4175 	poltta 	VERB
4176 	antta 	VERB
4177 	en voi mel’t märale antta 	PHRASE
4178 	kantta 	VERB
4179 	kintta 	VERB
4180 	küntta 	VERB
4181 	tuntta 	VERB
4182 	otta 	VERB
4183 	ühtheze otta 	PHRASE (Verb group)
4184 	jotta 	VERB
4185 	kelikootta 	VERB
4186 	kabalootta 	VERB
4187 	pootta 	VERB
4188 	pelgästootta 	VERB
4189 	vaikištootta 	VERB
4190 	arboozootta 	VERB
4191 	rotta 	VERB
4192 	rottä 	VERB
4193 	sötta 	VERB
4194 	hän üht-ki päd ei voi sötta 	PHRASE (Verb group)
4195 	zavottä 	VERB
4196 	tärtta 	VERB
4197 	tartta 	VERB
4198 	vartta 	VERB
4199 	kertta 	VERB
4200 	vertta 	VERB
4201 	pirtta 	VERB
4202 	sirtta 	VERB
4203 	pörtta 	VERB
4204 	sportta 	VERB
4205 	sortta 	VERB
4206 	surtta 	VERB
4207 	astta 	VERB
4208 	kastta 	VERB
4209 	kästta 	VERB
4210 	pästta 	VERB
4211 	paštta 	VERB
4212 	rastta 	VERB
4213 	rästta 	VERB
4214 	leštta 	VERB
4215 	namestta 	VERB
4216 	vestta 	VERB
4217 	ištta 	VERB
4218 	kištta 	VERB
4219 	ništta 	VERB
4220 	pistta 	VERB
4221 	pištta 	VERB
4222 	pisttä 	VERB
4223 	ristta 	VERB
4224 	ostta 	VERB
4225 	hoštta 	VERB
4226 	loštta 	VERB
4227 	röstta 	VERB
4228 	prosttä 	VERB
4229 	toštta 	VERB
4230 	vöstta 	VERB
4231 	kuštta 	VERB
4232 	muštta 	VERB
4233 	püštta 	VERB
4234 	utta 	VERB
4235 	uttä 	VERB
4236 	hautta 	VERB
4237 	täutta 	VERB
4238 	hutta 	VERB
4239 	jutta 	VERB
4240 	nutta 	VERB
4241 	houtta 	VERB
4242 	löutta 	VERB
4243 	poutta 	VERB
4244 	putta 	VERB
4245 	sütta 	VERB
4246 	uutta 	VERB
4247 	nuutta 	VERB
4248 	puutta 	VERB
4249 	kacauta 	VERB
4250 	kirgauta 	VERB
4251 	sugauta 	VERB
4252 	čukauta 	VERB
4253 	nolauta 	VERB
4254 	kärauta 	VERB
4255 	pörauta 	VERB
4256 	burauta 	VERB
4257 	ištauta 	VERB
4258 	čuta 	VERB
4259 	kucuta 	VERB
4260 	vedouta 	VERB
4261 	vihöuta 	VERB
4262 	jouta 	VERB
4263 	löuta 	VERB
4264 	ei voi sanoid löuta 	PHRASE (Verb group)
4265 	samouta 	VERB
4266 	souta 	VERB
4267 	püta 	VERB
4268 	paksuta 	VERB
4269 	ombuuta 	VERB
4270 	čuuta 	VERB
4271 	ridüuta 	VERB
4272 	vihuuta 	VERB
4273 	küuta 	VERB
4274 	lüuta 	VERB
4275 	suuta 	VERB
4276 	tuuta 	VERB
4277 	püüuta 	VERB
4278 	lava 	NOUN
4279 	lävä 	NOUN
4280 	korged lava 	PHRASE
4281 	avoin’lava 	NOUN
4282 	alalava 	NOUN
4283 	ülälava 	NOUN
4284 	hüpindlava 	NOUN
4285 	karglava 	NOUN
4286 	kivilava 	NOUN
4287 	cirk||lava 	NOUN
4288 	kesklava 	NOUN
4289 	laivanlava 	NOUN
4290 	betonlava 	NOUN
4291 	teatrlava 	NOUN
4292 	parket||lava 	NOUN
4293 	koncertlava 	NOUN
4294 	kargaiduzlava 	NOUN
4295 	nürkutuz||lava 	NOUN
4296 	odva 	ADV
4297 	oliva 	NOUN
4298 	Moskva 	PROPN (singularia tantum)
4299 	kova 	ADJ
4300 	ülikova 	ADJ
4301 	raudan||kova 	ADJ
4302 	lun||kova 	ADJ
4303 	nova 	NOUN
4304 	rova 	NOUN
4305 	Litva 	PROPN
4306 	hüvä 	PRE
4307 	hüvä 	NOUN
4308 	hüvä 	ADJ
4309 	jüvä 	NOUN
4310 	maid||jüvä 	NOUN
4311 	hernehjüvä 	NOUN
4312 	nogijüvä 	NOUN
4313 	ozran||jüvä 	NOUN
4314 	kofenjüvä 	NOUN
4315 	rugihen||jüvä 	NOUN
4316 	nižun||jüvä 	NOUN
4317 	kagrjüvä 	NOUN
4318 	rugižjüvä 	NOUN
4319 	kuva 	NOUN
4320 	mel’kuva 	NOUN
4321 	mec||kuva 	NOUN
4322 	pirdand||kuva 	NOUN
4323 	rindkuva 	NOUN
4324 	modkuva 	NOUN
4325 	pirdkuva 	NOUN
4326 	ičekuva 	NOUN
4327 	taidehkuva 	NOUN
4328 	ezikuva 	NOUN
4329 	seinkuva 	NOUN
4330 	nagrkuva 	NOUN
4331 	pasport||kuva 	NOUN
4332 	mušt||kuva 	NOUN
4333 	vezimujukuva 	NOUN
4334 	tähtazkuva 	NOUN
4335 	londuzkuva 	NOUN
4336 	manituzkuva 	NOUN
4337 	süvä 	ADJ
4338 	ülisüvä 	ADJ
4339 	faza 	NOUN
4340 	prokaza 	NOUN
4341 	kirvezkaza 	NOUN
4342 	paža 	NOUN (singularia tantum)
4343 	paza 	NOUN
4344 	taza 	NOUN
4345 	vaza 	NOUN
4346 	maid||vaza 	NOUN
4347 	härgvaza 	NOUN
4348 	lehm||vaza 	NOUN
4349 	pedran||vaza 	NOUN
4350 	hirbenvaza 	NOUN
4351 	keza 	NOUN
4352 	keža 	NOUN (singularia tantum)
4353 	kisel’keža 	NOUN (singularia tantum)
4354 	keväz’keza 	NOUN
4355 	jäl’gkeza 	NOUN
4356 	augkeza 	NOUN (singularia tantum)
4357 	möh||keza 	NOUN
4358 	keskkeza 	NOUN (singularia tantum)
4359 	lop||keza 	NOUN
4360 	kürzkeža 	NOUN (singularia tantum)
4361 	peza 	NOUN
4362 	ma||peza 	NOUN
4363 	biljardpeza 	NOUN
4364 	raudpeza 	NOUN
4365 	unipeza 	NOUN
4366 	mezi||peza 	NOUN
4367 	grähkpeza 	NOUN
4368 	hijampeza 	NOUN
4369 	haraganpeza 	NOUN
4370 	kondjanpeza 	NOUN
4371 	habukanpeza 	NOUN
4372 	hijamanpeza 	NOUN
4373 	kananpeza 	NOUN
4374 	hirenpeza 	NOUN
4375 	madon||peza 	NOUN
4376 	lindun||peza 	NOUN
4377 	ilopeza 	NOUN
4378 	redupeza 	NOUN
4379 	murahaiž||peza 	NOUN
4380 	bapshaižpeza 	NOUN
4381 	mezjaižpeza 	NOUN
4382 	veza 	NOUN
4383 	nin’||veza 	NOUN
4384 	iža 	NOUN
4385 	čiža 	NOUN
4386 	liža 	NOUN
4387 	mönd||liža 	NOUN
4388 	biznesliža 	NOUN (singularia tantum)
4389 	niža 	NOUN
4390 	koiranniža 	NOUN
4391 	riža 	NOUN
4392 	kelenriža 	NOUN
4393 	mujun||riža 	NOUN (singularia tantum)
4394 	märriža 	NOUN
4395 	hajuriža 	NOUN (singularia tantum)
4396 	ristiža 	NOUN
4397 	viza 	NOUN
4398 	oza 	NOUN (singularia tantum)
4399 	elo-oza 	NOUN
4400 	boža 	NOUN
4401 	pereh||oza 	NOUN (singularia tantum)
4402 	koza 	NOUN
4403 	roža 	NOUN
4404 	roza 	NOUN
4405 	nogiroža 	NOUN
4406 	proza 	NOUN
4407 	muza 	ADJ
4408 	rusked||muza 	ADJ
4409 	ruza 	ADJ
4410 	kor’b 	NOUN
4411 	bab 	NOUN
4412 	jagi-bab 	NOUN
4413 	päs kobaidab 	PHRASE
4414 	ilo katkaidab 	PHRASE (Verb group)
4415 	pidab 	ADJ
4416 	pidab 	VERB (unchangeable)
4417 	mända kuna pä kandab 	PHRASE
4418 	oksendale kändab 	PHRASE
4419 	iloho kändab 	PHRASE
4420 	södab 	ADJ
4421 	oksendele murdab 	PHRASE (Verb group)
4422 	hab 	NOUN
4423 	palab 	ADJ
4424 	eläb 	ADJ
4425 	nukkund tapab 	PHRASE (Verb group)
4426 	uni tapab 	PHRASE
4427 	higoho tapab 	PHRASE
4428 	säru tapab 	PHRASE (Verb group)
4429 	hahkatab 	ADJ
4430 	reskatab 	ADJ
4431 	tetab 	ADJ
4432 	min jaug otab 	PHRASE
4433 	äjak vägi otab 	PHRASE
4434 	säru otab 	PHRASE (Verb group)
4435 	pän punotab 	PHRASE (Verb group)
4436 	vihmub jorotab 	PHRASE
4437 	tutab 	ADJ
4438 	mel’ tegeb 	PHRASE
4439 	hambhad iškeb 	PHRASE (Verb group)
4440 	leb 	NOUN
4441 	tullei päs käveleb 	PHRASE (Verb group)
4442 	ailhad paneb 	PHRASE
4443 	svadib 	NOUN
4444 	leib 	NOUN
4445 	kodileib 	NOUN (singularia tantum)
4446 	voileib 	NOUN
4447 	palo||leib 	NOUN
4448 	rist||leib 	NOUN
4449 	nižu||leib 	NOUN
4450 	rugiž||leib 	NOUN
4451 	grib 	NOUN
4452 	spasib 	NOUN
4453 	kudamb 	PRON
4454 	nikudamb 	PRON
4455 	enamb 	ADJ
4456 	ramb 	ADJ
4457 	vanhemb 	ADJ
4458 	čomemb 	ADJ (comparative degree of comparison)
4459 	paremb 	ADJ (comparative degree of comparison)
4460 	paremb 	ADJ
4461 	bomb 	NOUN
4462 	atombomb 	NOUN
4463 	komb 	NOUN
4464 	hob 	NOUN
4465 	kolob 	NOUN
4466 	bolkolob 	NOUN
4467 	grob 	NOUN
4468 	mikrob 	NOUN
4469 	arb 	NOUN
4470 	barb 	NOUN
4471 	mustik||barb 	NOUN
4472 	bolbarb 	NOUN
4473 	babarmbarb 	NOUN
4474 	kärb 	NOUN
4475 	koirankärb 	NOUN
4476 	gerb 	NOUN
4477 	verb 	NOUN
4478 	negativine verb 	PHRASE (Noun group)
4479 	adverb 	NOUN
4480 	olend||verb 	NOUN
4481 	abuverb 	NOUN
4482 	birb 	NOUN (singularia tantum)
4483 	kirb 	NOUN
4484 	hibuzkirb 	NOUN
4485 	korb 	NOUN
4486 	edahaine korb 	PHRASE
4487 	meckorb 	NOUN
4488 	tedokorb 	NOUN
4489 	urb 	NOUN
4490 	gurb 	NOUN
4491 	Kurb 	PROPN (singularia tantum)
4492 	änikurb 	NOUN
4493 	lepän||urb 	NOUN
4494 	saub 	NOUN
4495 	tagasaub 	NOUN
4496 	iknansaub 	NOUN (singularia tantum)
4497 	vedensaub 	NOUN
4498 	dub 	NOUN
4499 	klub 	NOUN
4500 	mi henghe mülüb 	PHRASE
4501 	trub 	NOUN
4502 	kuna putub 	PHRASE
4503 	služb 	NOUN
4504 	pal’č 	NOUN
4505 	pal’c 	NOUN
4506 	kol’c 	NOUN
4507 	tül’c 	ADJ
4508 	mul’ač 	NOUN
4509 	gurbač 	ADJ
4510 	gurbač 	NOUN
4511 	dač 	NOUN
4512 	hondač 	ADJ
4513 	pagač 	NOUN
4514 	pingač 	NOUN
4515 	häč 	NOUN
4516 	kahač 	NOUN
4517 	laihač 	NOUN
4518 	bohač 	NOUN
4519 	käč 	NOUN
4520 	kac 	PART
4521 	pit’käč 	ADJ
4522 	kakač 	NOUN
4523 	jämäčkäč 	NOUN
4524 	hahkač 	ADJ
4525 	nökač 	NOUN
4526 	paskač 	NOUN
4527 	reskač 	ADJ
4528 	potkač 	ADJ
4529 	bukač 	NOUN
4530 	lač 	NOUN
4531 	pihläč 	NOUN
4532 	mäč 	NOUN
4533 	jämäč 	NOUN
4534 	lend||mäč 	NOUN
4535 	emäč 	NOUN
4536 	gol’fmäč 	NOUN
4537 	jaugmäč 	NOUN (singularia tantum)
4538 	suugmäč 	NOUN
4539 	käzimäč 	NOUN (singularia tantum)
4540 	tennis||mäč 	NOUN
4541 	purnač 	ADJ
4542 	päč 	NOUN
4543 	hapač 	NOUN
4544 	löndpäč 	NOUN
4545 	kaminpäč 	NOUN
4546 	elektropäč 	NOUN (singularia tantum)
4547 	must||päč 	NOUN
4548 	raudan||sulatuz||päč 	NOUN (singularia tantum)
4549 	grač 	NOUN
4550 	vezirac 	NOUN
4551 	orač 	NOUN (animate)
4552 	burač 	NOUN
4553 	hurač 	NOUN
4554 	katač 	NOUN
4555 	vac 	NOUN
4556 	bröngvac 	NOUN
4557 	kuivač 	NOUN
4558 	abzac 	NOUN
4559 	mec 	NOUN
4560 	taigamec 	NOUN
4561 	pedai||mec 	NOUN (singularia tantum)
4562 	kaskezmec 	NOUN
4563 	lehtezmec 	NOUN
4564 	lehmuz||mec 	NOUN
4565 	hereč 	NOUN
4566 	sitec 	NOUN
4567 	kambič 	NOUN
4568 	čimbič 	NOUN
4569 	gurbič 	NOUN
4570 	raudič 	NOUN
4571 	veič 	NOUN
4572 	sur’ veič 	PHRASE (Noun group)
4573 	kalaveič 	NOUN
4574 	bardveič 	NOUN
4575 	stöklanveič 	NOUN
4576 	leikatuz||veič 	NOUN
4577 	mectuz||veič 	NOUN
4578 	jäl’gič 	NOUN
4579 	kägič 	NOUN
4580 	kargič 	NOUN
4581 	kič 	NOUN
4582 	kič 	INTJ
4583 	vaskič 	NOUN
4584 	puskič 	ADJ
4585 	ruskič 	NOUN
4586 	kukič 	NOUN
4587 	alič 	NOUN
4588 	madalič 	NOUN
4589 	mozgalic 	NOUN
4590 	padan||alič 	NOUN
4591 	palič 	NOUN
4592 	čogapalič 	NOUN
4593 	kengpalič 	NOUN
4594 	astiipalič 	NOUN
4595 	rivipalič 	NOUN
4596 	kirjpalič 	NOUN
4597 	matktavarpalič 	NOUN
4598 	ozuteluzpalič 	NOUN
4599 	tablic 	NOUN
4600 	jagadandtablic 	NOUN
4601 	äikerdoičend||tablic 	NOUN
4602 	jagaduztablic 	NOUN
4603 	imelic 	NOUN (singularia tantum)
4604 	ulic 	NOUN
4605 	tomič 	NOUN
4606 	mehel’nic 	NOUN
4607 	mel’nic 	NOUN
4608 	imel’nic 	NOUN (singularia tantum)
4609 	vezimel’nic 	NOUN
4610 	bol’nic 	NOUN
4611 	paganič 	NOUN
4612 	pätnič 	NOUN
4613 	munarič 	NOUN
4614 	kartohkmunarič 	NOUN
4615 	sil’mmunarič 	NOUN
4616 	pavarič 	NOUN
4617 	koverič 	NOUN
4618 	lakric 	NOUN
4619 	imurič 	NOUN
4620 	kosic 	NOUN
4621 	matic 	NOUN
4622 	vic 	NOUN
4623 	birbvic 	NOUN
4624 	ongi||vic 	NOUN
4625 	bordovic 	NOUN
4626 	kokovic 	NOUN
4627 	airvic 	NOUN
4628 	pezič 	NOUN
4629 	mulč 	NOUN
4630 	skanc 	NOUN
4631 	länc 	NOUN
4632 	blanc 	NOUN
4633 	homenc 	NOUN
4634 	ma||rumenc 	NOUN (singularia tantum)
4635 	venc 	NOUN
4636 	sauvondvenc 	NOUN
4637 	vägestuzvenc 	NOUN
4638 	oc 	NOUN
4639 	sarnoiden oc 	PHRASE (Noun group)
4640 	koč 	NOUN
4641 	löc 	NOUN
4642 	rubilöc 	NOUN
4643 	mägenoc 	NOUN
4644 	päčin||oc 	NOUN
4645 	pertin||oc 	NOUN
4646 	kläpc 	NOUN
4647 	hörč 	NOUN
4648 	körč 	NOUN
4649 	oks||körč 	NOUN
4650 	ogurc 	NOUN
4651 	kurč 	NOUN
4652 	lauč 	NOUN
4653 	stauc 	NOUN
4654 	salatstauc 	NOUN
4655 	buč 	NOUN
4656 	mezi||buč 	NOUN
4657 	olut||buč 	NOUN
4658 	luč 	NOUN
4659 	kapustluč 	NOUN
4660 	louč 	NOUN
4661 	rouč 	NOUN
4662 	ad 	NOUN
4663 	en mušta ni rabad 	PHRASE (Verb group)
4664 	leibäd 	NOUN (pluralia tantum)
4665 	vanhembad 	NOUN
4666 	kazvatuzvanhembad 	NOUN (pluralia tantum)
4667 	molembad 	PRON (pluralia tantum)
4668 	sobad 	NOUN
4669 	avaruz’sobad 	NOUN (pluralia tantum)
4670 	sijasobad 	NOUN (pluralia tantum)
4671 	redusobad 	NOUN
4672 	tal’vsobad 	NOUN (pluralia tantum)
4673 	raccastuz||sobad 	NOUN (pluralia tantum)
4674 	tacta arbad 	PHRASE (Verb group)
4675 	kartohkbarbad 	NOUN (pluralia tantum)
4676 	en el’genda ni mecad 	PHRASE (Verb group)
4677 	kuričad 	NOUN
4678 	lancad 	NOUN (pluralia tantum)
4679 	raadad 	NOUN
4680 	nel’l’sadad 	NUM (cardinal)
4681 	kaks’sadad 	NUM
4682 	kuz’sadad 	NUM (cardinal)
4683 	kahesasadad 	NUM (cardinal)
4684 	ühesasadad 	NUM
4685 	seičemesadad 	NUM (cardinal)
4686 	koumesadad 	NUM
4687 	vižsadad 	NUM
4688 	kedad 	NOUN (pluralia tantum)
4689 	hihkutada ridad 	PHRASE (Verb group)
4690 	Amerikan Ühtenzoittud Valdkundad 	PROPN
4691 	Ühthižrahvazkundad 	PROPN (pluralia tantum)
4692 	sol’läžundad 	NOUN
4693 	haudad 	NOUN (pluralia tantum)
4694 	raudad 	NOUN (pluralia tantum)
4695 	käziraudad 	NOUN (pluralia tantum)
4696 	gad 	NOUN
4697 	nähta näl’gäd 	PHRASE (Verb group)
4698 	ma||gad 	NOUN
4699 	edel aigad 	PHRASE
4700 	dengad 	NOUN (pluralia tantum)
4701 	hoikad dengad 	PHRASE
4702 	ližadengad 	NOUN
4703 	bumagdengad 	NOUN
4704 	kengäd 	NOUN (pluralia tantum)
4705 	kezakengäd 	NOUN (pluralia tantum)
4706 	jämäčkengäd 	NOUN (pluralia tantum)
4707 	jaugmäčkengäd 	NOUN (pluralia tantum)
4708 	hihtändkengäd 	NOUN (pluralia tantum)
4709 	kodikengäd 	NOUN (pluralia tantum)
4710 	hobkodikengäd 	NOUN (pluralia tantum)
4711 	demikengäd 	NOUN (pluralia tantum)
4712 	praznik||kengäd 	NOUN (pluralia tantum)
4713 	paglkengäd 	NOUN (pluralia tantum)
4714 	avokengäd 	NOUN (pluralia tantum)
4715 	baletkengäd 	NOUN (pluralia tantum)
4716 	sportkengäd 	NOUN (pluralia tantum)
4717 	kargaiduzkengäd 	NOUN (pluralia tantum)
4718 	käveluzkengäd 	NOUN (pluralia tantum)
4719 	honuzkengäd 	NOUN (pluralia tantum)
4720 	vajehtuz||kengäd 	NOUN (pluralia tantum)
4721 	raccastuz||kengäd 	NOUN (pluralia tantum)
4722 	jänišanpirgad 	NOUN (pluralia tantum)
4723 	kerata jaugad 	PHRASE
4724 	sabilahad 	NOUN (pluralia tantum)
4725 	hamilahad 	NOUN (pluralia tantum)
4726 	büdžetrahad 	NOUN (pluralia tantum)
4727 	löda hambhad 	PHRASE
4728 	pordhad 	NOUN (pluralia tantum)
4729 	štargpordhad 	NOUN (pluralia tantum)
4730 	sein||pordhad 	NOUN (pluralia tantum)
4731 	palo||pordhad 	NOUN (pluralia tantum)
4732 	metro||pordhad 	NOUN (pluralia tantum)
4733 	nor||pordhad 	NOUN (pluralia tantum)
4734 	tanaz||pordhad 	NOUN (pluralia tantum)
4735 	olimpiad||renghad 	NOUN (pluralia tantum)
4736 	bronhad 	NOUN (pluralia tantum)
4737 	puhad 	NOUN (pluralia tantum)
4738 	nel’l’tuhad 	NUM
4739 	kaks’tuhad 	NUM
4740 	kuz’tuhad 	NUM
4741 	kahesatuhad 	NUM (cardinal)
4742 	koumetuhad 	NUM (cardinal)
4743 	kümnetuhad 	NUM
4744 	vižtuhad 	NUM
4745 	olimpiad 	NOUN
4746 	jad 	NOUN
4747 	äjad 	ADJ
4748 	pagišta joudajad 	PHRASE
4749 	ei ole hänes eläjad 	PHRASE
4750 	mavezieläjad 	NOUN (pluralia tantum)
4751 	jämäčverajad 	NOUN (pluralia tantum)
4752 	jaugmäčverajad 	NOUN (pluralia tantum)
4753 	kazvatajad 	NOUN (pluralia tantum)
4754 	imetajad 	NOUN (pluralia tantum)
4755 	vahahibjad 	NOUN (pluralia tantum)
4756 	kadjad 	NOUN (pluralia tantum)
4757 	tapta tühjad 	PHRASE (Verb group)
4758 	ümbriolijad 	NOUN (pluralia tantum)
4759 	kaik sijad 	PHRASE
4760 	ecta kaik sijad 	PHRASE (Verb group)
4761 	kumaita kaik sijad 	PHRASE
4762 	kangazsijad 	NOUN (pluralia tantum)
4763 	tühjan pagižijad 	PHRASE
4764 	olanjad 	NOUN (pluralia tantum)
4765 	kadagmarjad 	NOUN (pluralia tantum)
4766 	kollijanmarjad 	NOUN (pluralia tantum)
4767 	koiranmarjad 	NOUN (pluralia tantum)
4768 	kažinmarjad 	NOUN
4769 	küzmäižmarjad 	NOUN (pluralia tantum)
4770 	astjad 	NOUN (pluralia tantum)
4771 	maujujad 	NOUN (pluralia tantum)
4772 	ni töd, ni azjad 	PHRASE
4773 	kodiazjad 	NOUN (pluralia tantum)
4774 	näkad 	NOUN (pluralia tantum)
4775 	očkad 	NOUN (pluralia tantum)
4776 	hihtändočkad 	NOUN (pluralia tantum)
4777 	lugend||očkad 	NOUN (pluralia tantum)
4778 	kehkerad sadanikad 	PHRASE
4779 	igähižed vihanikad 	PHRASE
4780 	pehmitada bokad 	PHRASE (Verb group)
4781 	pol’||sapkad 	NOUN (pluralia tantum)
4782 	pol’v||sapkad 	NOUN (pluralia tantum)
4783 	ošurkad 	NOUN (pluralia tantum)
4784 	veskad 	NOUN (pluralia tantum)
4785 	noskad 	NOUN (pluralia tantum)
4786 	sär||noskad 	NOUN (pluralia tantum)
4787 	puškad 	NOUN (pluralia tantum)
4788 	hüväd matkad 	PHRASE
4789 	sutkad 	NOUN (pluralia tantum)
4790 	tukad 	NOUN (pluralia tantum)
4791 	vedehižen tukad 	PHRASE
4792 	ližatukad 	NOUN (pluralia tantum)
4793 	tegotukad 	NOUN
4794 	kombčuukad 	NOUN (pluralia tantum)
4795 	lad 	NOUN
4796 	lad 	NOUN (singularia tantum)
4797 	lad 	NOUN
4798 	suks’lad 	NOUN
4799 	korvnübläd 	NOUN (pluralia tantum)
4800 	keitändlad 	NOUN
4801 	marmelad 	NOUN (singularia tantum)
4802 	roditeläd 	NOUN
4803 	šahlad 	NOUN
4804 	černilad 	NOUN (pluralia tantum)
4805 	leibvilläd 	NOUN (pluralia tantum)
4806 	sulasolad 	NOUN (pluralia tantum)
4807 	avtolad 	NOUN
4808 	pazlad 	NOUN (pluralia tantum)
4809 	kirjutuzlad 	NOUN
4810 	loda sil’mäd 	PHRASE
4811 	pesta sil’mäd 	PHRASE (Verb group)
4812 	peitta sil’mäd 	PHRASE (Verb group)
4813 	mezisil’mäd 	NOUN (pluralia tantum)
4814 	kukoinsil’mäd 	NOUN (pluralia tantum)
