

Sign up
Forgot your password?
Remember me

    About
    Corpus
    Dictionary
    Auxiliaries

Lemma reverse dictionary

ä

by

records

17 093 records were found.
No 	lemma 	part of speech
106 	terav kel’ 	PHRASE (Noun group)
107 	venäkel’ 	NOUN
108 	libedkel’ 	NOUN
109 	maged||kel’ 	ADJ
110 	kändandkel’ 	NOUN
111 	kandkel’ 	NOUN
112 	kodikel’ 	NOUN
113 	partikel’ 	NOUN
114 	kirjkel’ 	NOUN
115 	pit’kkel’ 	NOUN
116 	kukkel’ 	NOUN
117 	heimkel’ 	NOUN
118 	gadankel’ 	NOUN
119 	grekankel’ 	NOUN
120 	turkan||kel’ 	NOUN
121 	maman||kel’ 	NOUN
122 	pagin||kel’ 	NOUN
123 	lämoin||kel’ 	NOUN
124 	hebonkel’ 	NOUN
125 	kellonkel’ 	NOUN
126 	peitkel’ 	NOUN
127 	tahtazkel’ 	NOUN
128 	openduz||kel’ 	NOUN
129 	kirjutuzkel’ 	NOUN
130 	mel’ 	NOUN
131 	tegeb mel’ 	PHRASE (Verb group)
132 	imel’ 	ADJ
133 	lapsen||mel’ 	NOUN
134 	ilomel’ 	NOUN (singularia tantum)
135 	pel’ 	NOUN
136 	iknanpel’ 	NOUN
137 	kupel’ 	NOUN
138 	kisel’ 	NOUN
139 	maid||kisel’ 	NOUN (singularia tantum)
140 	marj||kisel’ 	NOUN
141 	mustik||kisel’ 	NOUN (singularia tantum)
142 	manzik||kisel’ 	NOUN
143 	bolkisel’ 	NOUN
144 	garbolkisel’ 	NOUN
145 	kagrkisel’ 	NOUN (singularia tantum)
146 	roditel’ 	NOUN
147 	otel’ 	NOUN
148 	artel’ 	NOUN
149 	dizel’ 	NOUN
150 	pihl’ 	NOUN
151 	kokteil’ 	NOUN
152 	maid||kokteil’ 	NOUN
153 	jäl’gil’ 	ADV
154 	hil’ 	NOUN
155 	kivihil’ 	NOUN
156 	namil’ 	NOUN
157 	vanil’ 	NOUN (singularia tantum)
158 	kadril’ 	NOUN
159 	rehtil’ 	NOUN
160 	artil’ 	NOUN
161 	kostil’ 	NOUN
162 	pakl’ 	NOUN
163 	spektakl’ 	NOUN
164 	binokl’ 	NOUN
165 	bukl’ 	NOUN
166 	kall’ 	NOUN
167 	Kreml’ 	PROPN (singularia tantum)
168 	alkogol’ 	NOUN
169 	hol’ 	NOUN
170 	raha||hol’ 	NOUN
171 	smol’ 	NOUN (animate)
172 	linol’ 	NOUN (singularia tantum)
173 	pöl’ 	NOUN
174 	pol’ 	NOUN
175 	toine pol’ 	PHRASE (Noun group)
176 	vahv pol’ 	PHRASE (Noun group)
177 	keväz’pol’ 	NOUN
178 	sügüz’pol’ 	NOUN
179 	alapol’ 	NOUN
180 	hurapol’ 	NOUN
181 	ocpol’ 	NOUN
182 	laid||pol’ 	NOUN
183 	randpol’ 	NOUN
184 	rind||pol’ 	NOUN
185 	irdpol’ 	NOUN
186 	augpol’ 	NOUN
187 	päipol’ 	NOUN
188 	kodipol’ 	NOUN
189 	rivipol’ 	NOUN
190 	suvipol’ 	NOUN
191 	ezipol’ 	NOUN
192 	akpol’ 	NOUN
193 	keitimpol’ 	NOUN
194 	päivlaskmpol’ 	NOUN
195 	päivnouzmpol’ 	NOUN
196 	lop||pol’ 	NOUN
197 	ehtpol’ 	NOUN
198 	lehtpol’ 	NOUN
199 	homendezpol’ 	NOUN
200 	pil’vez||pol’ 	NOUN
201 	pohjoiž||pol’ 	NOUN
202 	openduz||pol’ 	NOUN
203 	pä||rol’ 	NOUN (singularia tantum)
